Ingredient code,Ingredient despcription,Nutrient code,Nutrient description ,Nutrient value
1001,"Butter, stick, salted",204,Total Fat,82.2
1001,"Butter, stick, salted",601,Cholesterol,235
1001,"Butter, stick, salted",606,"Fatty acids, total saturated",45.6
1001,"Butter, stick, salted",645,"Fatty acids, total monounsaturated",16.9
1001,"Butter, stick, salted",646,"Fatty acids, total polyunsaturated",2.52
1002,"Butter, whipped, with salt",204,Total Fat,78.3
1002,"Butter, whipped, with salt",601,Cholesterol,225
1002,"Butter, whipped, with salt",606,"Fatty acids, total saturated",45.39
1002,"Butter, whipped, with salt",645,"Fatty acids, total monounsaturated",19.874
1002,"Butter, whipped, with salt",646,"Fatty acids, total polyunsaturated",3.331
1003,"Butter oil, anhydrous",204,Total Fat,99.48
1003,"Butter oil, anhydrous",601,Cholesterol,256
1003,"Butter oil, anhydrous",606,"Fatty acids, total saturated",61.924
1003,"Butter oil, anhydrous",645,"Fatty acids, total monounsaturated",28.732
1003,"Butter oil, anhydrous",646,"Fatty acids, total polyunsaturated",3.694
1004,"Cheese, blue",204,Total Fat,28.74
1004,"Cheese, blue",601,Cholesterol,75
1004,"Cheese, blue",606,"Fatty acids, total saturated",18.669
1004,"Cheese, blue",645,"Fatty acids, total monounsaturated",7.778
1004,"Cheese, blue",646,"Fatty acids, total polyunsaturated",0.8
1005,"Cheese, brick",204,Total Fat,29.68
1005,"Cheese, brick",601,Cholesterol,94
1005,"Cheese, brick",606,"Fatty acids, total saturated",18.764
1005,"Cheese, brick",645,"Fatty acids, total monounsaturated",8.598
1005,"Cheese, brick",646,"Fatty acids, total polyunsaturated",0.784
1006,"Cheese, brie",204,Total Fat,27.68
1006,"Cheese, brie",601,Cholesterol,100
1006,"Cheese, brie",606,"Fatty acids, total saturated",17.41
1006,"Cheese, brie",645,"Fatty acids, total monounsaturated",8.013
1006,"Cheese, brie",646,"Fatty acids, total polyunsaturated",0.826
1007,"Cheese, camembert",204,Total Fat,24.26
1007,"Cheese, camembert",601,Cholesterol,72
1007,"Cheese, camembert",606,"Fatty acids, total saturated",15.259
1007,"Cheese, camembert",645,"Fatty acids, total monounsaturated",7.023
1007,"Cheese, camembert",646,"Fatty acids, total polyunsaturated",0.724
1009,"Cheese, cheddar",204,Total Fat,34
1009,"Cheese, cheddar",601,Cholesterol,100
1009,"Cheese, cheddar",606,"Fatty acids, total saturated",19.2
1009,"Cheese, cheddar",645,"Fatty acids, total monounsaturated",7.44
1009,"Cheese, cheddar",646,"Fatty acids, total polyunsaturated",1.18
1011,"Cheese, colby",204,Total Fat,32.11
1011,"Cheese, colby",601,Cholesterol,95
1011,"Cheese, colby",606,"Fatty acids, total saturated",20.218
1011,"Cheese, colby",645,"Fatty acids, total monounsaturated",9.28
1011,"Cheese, colby",646,"Fatty acids, total polyunsaturated",0.953
1012,"Cheese, cottage, creamed, large or small curd",204,Total Fat,4.3
1012,"Cheese, cottage, creamed, large or small curd",601,Cholesterol,17
1012,"Cheese, cottage, creamed, large or small curd",606,"Fatty acids, total saturated",1.718
1012,"Cheese, cottage, creamed, large or small curd",645,"Fatty acids, total monounsaturated",0.778
1012,"Cheese, cottage, creamed, large or small curd",646,"Fatty acids, total polyunsaturated",0.123
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",204,Total Fat,0.29
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",601,Cholesterol,7
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",606,"Fatty acids, total saturated",0.169
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",645,"Fatty acids, total monounsaturated",0.079
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",646,"Fatty acids, total polyunsaturated",0.003
1015,"Cheese, cottage, lowfat, 2% milkfat",204,Total Fat,2.3
1015,"Cheese, cottage, lowfat, 2% milkfat",601,Cholesterol,12
1015,"Cheese, cottage, lowfat, 2% milkfat",606,"Fatty acids, total saturated",1.26
1015,"Cheese, cottage, lowfat, 2% milkfat",645,"Fatty acids, total monounsaturated",0.469
1015,"Cheese, cottage, lowfat, 2% milkfat",646,"Fatty acids, total polyunsaturated",0.072
1016,"Cheese, cottage, lowfat, 1% milkfat",204,Total Fat,1.02
1016,"Cheese, cottage, lowfat, 1% milkfat",601,Cholesterol,4
1016,"Cheese, cottage, lowfat, 1% milkfat",606,"Fatty acids, total saturated",0.645
1016,"Cheese, cottage, lowfat, 1% milkfat",645,"Fatty acids, total monounsaturated",0.291
1016,"Cheese, cottage, lowfat, 1% milkfat",646,"Fatty acids, total polyunsaturated",0.031
1017,"Cheese, cream",204,Total Fat,34.44
1017,"Cheese, cream",601,Cholesterol,101
1017,"Cheese, cream",606,"Fatty acids, total saturated",20.213
1017,"Cheese, cream",645,"Fatty acids, total monounsaturated",8.907
1017,"Cheese, cream",646,"Fatty acids, total polyunsaturated",1.483
1019,"Cheese, feta",204,Total Fat,21.49
1019,"Cheese, feta",601,Cholesterol,89
1019,"Cheese, feta",606,"Fatty acids, total saturated",13.3
1019,"Cheese, feta",645,"Fatty acids, total monounsaturated",4.623
1019,"Cheese, feta",646,"Fatty acids, total polyunsaturated",0.591
1020,"Cheese, fontina",204,Total Fat,31.14
1020,"Cheese, fontina",601,Cholesterol,116
1020,"Cheese, fontina",606,"Fatty acids, total saturated",19.196
1020,"Cheese, fontina",645,"Fatty acids, total monounsaturated",8.687
1020,"Cheese, fontina",646,"Fatty acids, total polyunsaturated",1.654
1022,"Cheese, gouda",204,Total Fat,27.44
1022,"Cheese, gouda",601,Cholesterol,114
1022,"Cheese, gouda",606,"Fatty acids, total saturated",17.614
1022,"Cheese, gouda",645,"Fatty acids, total monounsaturated",7.747
1022,"Cheese, gouda",646,"Fatty acids, total polyunsaturated",0.657
1023,"Cheese, gruyere",204,Total Fat,32.34
1023,"Cheese, gruyere",601,Cholesterol,110
1023,"Cheese, gruyere",606,"Fatty acids, total saturated",18.913
1023,"Cheese, gruyere",645,"Fatty acids, total monounsaturated",10.043
1023,"Cheese, gruyere",646,"Fatty acids, total polyunsaturated",1.733
1024,"Cheese, limburger",204,Total Fat,27.25
1024,"Cheese, limburger",601,Cholesterol,90
1024,"Cheese, limburger",606,"Fatty acids, total saturated",16.746
1024,"Cheese, limburger",645,"Fatty acids, total monounsaturated",8.606
1024,"Cheese, limburger",646,"Fatty acids, total polyunsaturated",0.495
1025,"Cheese, monterey",204,Total Fat,30.28
1025,"Cheese, monterey",601,Cholesterol,89
1025,"Cheese, monterey",606,"Fatty acids, total saturated",19.066
1025,"Cheese, monterey",645,"Fatty acids, total monounsaturated",8.751
1025,"Cheese, monterey",646,"Fatty acids, total polyunsaturated",0.899
1029,"Cheese, mozzarella, low moisture, part-skim",204,Total Fat,20.4
1029,"Cheese, mozzarella, low moisture, part-skim",601,Cholesterol,65
1029,"Cheese, mozzarella, low moisture, part-skim",606,"Fatty acids, total saturated",11.7
1029,"Cheese, mozzarella, low moisture, part-skim",645,"Fatty acids, total monounsaturated",4.65
1029,"Cheese, mozzarella, low moisture, part-skim",646,"Fatty acids, total polyunsaturated",0.744
1030,"Cheese, muenster",204,Total Fat,30.04
1030,"Cheese, muenster",601,Cholesterol,96
1030,"Cheese, muenster",606,"Fatty acids, total saturated",19.113
1030,"Cheese, muenster",645,"Fatty acids, total monounsaturated",8.711
1030,"Cheese, muenster",646,"Fatty acids, total polyunsaturated",0.661
1032,"Cheese, parmesan, grated",204,Total Fat,28
1032,"Cheese, parmesan, grated",601,Cholesterol,87
1032,"Cheese, parmesan, grated",606,"Fatty acids, total saturated",15.5
1032,"Cheese, parmesan, grated",645,"Fatty acids, total monounsaturated",6.4
1032,"Cheese, parmesan, grated",646,"Fatty acids, total polyunsaturated",1.2
1035,"Cheese, provolone",204,Total Fat,26.62
1035,"Cheese, provolone",601,Cholesterol,69
1035,"Cheese, provolone",606,"Fatty acids, total saturated",17.078
1035,"Cheese, provolone",645,"Fatty acids, total monounsaturated",7.393
1035,"Cheese, provolone",646,"Fatty acids, total polyunsaturated",0.769
1036,"Cheese, ricotta, whole milk",204,Total Fat,11
1036,"Cheese, ricotta, whole milk",601,Cholesterol,48
1036,"Cheese, ricotta, whole milk",606,"Fatty acids, total saturated",6.97
1036,"Cheese, ricotta, whole milk",645,"Fatty acids, total monounsaturated",2.56
1036,"Cheese, ricotta, whole milk",646,"Fatty acids, total polyunsaturated",0.389
1037,"Cheese, ricotta, part skim milk",204,Total Fat,7.91
1037,"Cheese, ricotta, part skim milk",601,Cholesterol,31
1037,"Cheese, ricotta, part skim milk",606,"Fatty acids, total saturated",4.927
1037,"Cheese, ricotta, part skim milk",645,"Fatty acids, total monounsaturated",2.314
1037,"Cheese, ricotta, part skim milk",646,"Fatty acids, total polyunsaturated",0.26
1040,"Cheese, swiss",204,Total Fat,31
1040,"Cheese, swiss",601,Cholesterol,93
1040,"Cheese, swiss",606,"Fatty acids, total saturated",18.2
1040,"Cheese, swiss",645,"Fatty acids, total monounsaturated",7.26
1040,"Cheese, swiss",646,"Fatty acids, total polyunsaturated",1.14
1042,"Cheese, pasteurized process, American, vitamin D fortified",204,Total Fat,30.6
1042,"Cheese, pasteurized process, American, vitamin D fortified",601,Cholesterol,98
1042,"Cheese, pasteurized process, American, vitamin D fortified",606,"Fatty acids, total saturated",18.1
